,conflict,fun,knowledge,neutral,power,respect,similarity_identity,social_support,trust
conflict,0.84,0.0,0.89,0.0,0.0,0.74,0.72,0.62,0.56
fun,0.0,0.0,0.88,0.84,0.0,0.27,0.31,0.32,0.69
knowledge,0.77,0.83,0.93,0.56,0.74,0.18,0.0,0.47,0.2
neutral,0.73,0.0,0.0,0.81,0.89,0.01,0.11,0.0,0.18
power,0.86,0.0,0.92,0.95,0.98,0.18,0.0,0.0,0.18
respect,0.0,0.49,0.52,0.0,0.0,1.0,0.0,0.0,0.0
similarity_identity,0.91,0.53,0.0,0.0,0.88,0.0,0.0,0.0,0.46
social_support,0.0,0.67,0.62,0.69,0.0,0.01,0.0,1.0,0.0
trust,0.0,0.0,0.73,0.79,0.82,0.02,0.12,0.04,0.88
